,weapon,map,distance,killer name
396,Hit by Car,MIRAMAR,3563.367400900727,MetroIntrnetKafe
397,Hit by Car,MIRAMAR,5562.9026132888575,AA2089616212
398,P1911,MIRAMAR,5176.225861720197,DK_Meng
399,P1911,MIRAMAR,3719.625463863936,xiong_bear
400,Punch,MIRAMAR,3801.27272776803,DouYuTV143824
401,Hit by Car,MIRAMAR,4216.05633266267,wangyifan23
402,Punch,MIRAMAR,3777.743597241613,DouYuTV143824
403,Hit by Car,MIRAMAR,4185.557650748225,cz_o_O
404,Punch,MIRAMAR,3776.884323096221,Killme1st
405,P1911,MIRAMAR,4968.841800827432,cz_o_O
406,P1911,MIRAMAR,3958.9509100175765,Reaper_HeadshoT
407,Punch,MIRAMAR,3783.2321159248213,ICE5KING
408,Punch,MIRAMAR,4622.882335682793,tongjg001
409,Hit by Car,MIRAMAR,4851.245422348368,DAPOHOUCC
410,Punch,MIRAMAR,3972.500428256868,sf-minho
411,Punch,MIRAMAR,3715.1136863569864,Lovely_TT
412,P1911,MIRAMAR,6446.91269322293,WasabiLube
413,R45,MIRAMAR,5910.449106354271,wanibabaa
414,P1911,MIRAMAR,4917.543002624481,TIMECHENXX
415,Punch,MIRAMAR,1973.51716312704,Heiliange
416,Punch,MIRAMAR,1569.0521357316334,#unknown
417,Punch,MIRAMAR,3751.5713846686967,haoningshishabi
418,Punch,MIRAMAR,1527.4273420805328,#unknown
419,Punch,MIRAMAR,1582.176848309,CDFAVGVERSDFT
420,Hit by Car,MIRAMAR,4904.9712701434855,zYuGeWuDi
421,Punch,MIRAMAR,2361.466183863586,zsh5208
422,Punch,MIRAMAR,5456.615689744423,dazhzz
423,Punch,MIRAMAR,3002.54996198398,jgguyfth
424,Punch,MIRAMAR,2109.4796026937543,Shengbaby7
425,Punch,MIRAMAR,6245.59974289043,tigerrock28
426,Punch,MIRAMAR,6785.452968205534,UncleStephen
427,Hit by Car,MIRAMAR,5335.178452655731,JLM3
428,R45,MIRAMAR,4648.790704424108,terranmetal
429,Punch,MIRAMAR,8914.365867548235,MRJTHEREAL7
430,P1911,MIRAMAR,3285.3889725560653,korruptedglitch
431,P1911,MIRAMAR,4798.672465225877,Stickfiglet
432,P92,MIRAMAR,4915.437739571116,hamz922
433,Punch,MIRAMAR,1924.885472342186,JeremyZzz7
434,P92,MIRAMAR,4511.986063725375,Evilhoodlem
435,Hit by Car,MIRAMAR,2804.1699587473295,Jamesrystal
436,Hit by Car,MIRAMAR,5266.87287926764,ArrestedD
