,weapon,map,distance,killer name
12906,Punch,ERANGEL,8536.729862009048,Chdy
12907,Punch,ERANGEL,6119.660448849757,kiRA__
12908,Punch,ERANGEL,6120.562090690201,kiRA__
12909,Punch,ERANGEL,6110.01588055874,Aimee_Girl
12910,P1911,ERANGEL,3347.669082033796,Followzhichen
12911,Hit by Car,ERANGEL,4723.309085834209,fgdaszgf
12912,Punch,ERANGEL,6319.804278097559,woaigao
12913,Punch,ERANGEL,6341.091537984944,yesjk
12914,Crowbar,ERANGEL,6253.674283181449,JapaneseBT
12915,Punch,ERANGEL,7596.4805820883275,NDMZZ
12916,Hit by Car,ERANGEL,4278.263958291727,Crazy308
12917,Punch,ERANGEL,4305.337367689668,Crazy308
12918,Punch,ERANGEL,6778.264209909864,savior777777777
12919,Punch,ERANGEL,5742.941795158034,peter--nmj
12920,Punch,ERANGEL,5813.030571272097,GODUSOPP8K
12921,Punch,ERANGEL,7611.019137460107,PC990315
12922,Punch,ERANGEL,7632.6808634230865,PC990315
12923,Punch,ERANGEL,7629.655110419606,PC990315
12924,Punch,ERANGEL,7614.359978233364,PC990315
12925,P1911,ERANGEL,3529.1390830910877,gogo--11
12926,P1911,ERANGEL,4063.6912517279166,VN-OTADA
12927,P1911,ERANGEL,3530.7115716699377,TTC4
12928,Punch,ERANGEL,3128.868995386831,VictorXi
12929,Hit by Car,ERANGEL,4969.11235626656,ljx2018jy
12930,Punch,ERANGEL,8561.115222850176,xiaokucha1
12931,Punch,ERANGEL,8572.4542774783,xiaokucha1
12932,P1911,ERANGEL,7147.701254757924,PitBikeGang
12933,Machete,ERANGEL,7995.022947794584,Dragonjaredz
12934,Punch,ERANGEL,7715.98549654579,Kensidian
12935,Punch,ERANGEL,7544.2319409996935,Mxjnxn
12936,Punch,ERANGEL,7511.014725965128,YLYCOOKIES
12937,Punch,ERANGEL,7935.765610365833,shuihuoli
12938,Punch,ERANGEL,8019.807562591824,CN_sunshinekaka
12939,Punch,ERANGEL,3926.901821454669,Ligoc
12940,Punch,ERANGEL,8028.643099028005,CN_sunshinekaka
12941,Hit by Car,ERANGEL,4821.371906425183,Ridsthe994
